2 1
0 1
0 1
0 0 -0.15 
0 15 0.479 
15 0 -0.00739 
0 1 -0.134 
0 2 -0.267 
0 3 -0.296 
0 4 -0.326 
0 5 -0.236 
0 6 -0.137 
0 7 -0.0373 
0 8 0.0414 
0 9 0.0657 
0 10 0.09 
0 11 0.0791 
0 12 0.119 
0 13 0.159 
0 14 0.25 
1 0 -0.145 
1 1 -0.00324 
1 2 0.0287 
1 3 0.0685 
1 4 0.108 
1 5 0.149 
1 6 0.118 
1 7 0.088 
1 8 -0.00662 
1 9 -0.109 
1 10 -0.211 
1 11 -0.28 
1 12 -0.226 
1 13 -0.172 
1 14 0.0174 
1 15 0.281 
2 0 -0.291 
2 1 0.0145 
2 2 0.39 
2 3 0.52 
2 4 0.651 
2 5 0.565 
2 6 0.366 
2 7 0.167 
2 8 -0.14 
2 9 -0.321 
2 10 -0.501 
2 11 -0.598 
2 12 -0.495 
2 13 -0.392 
2 14 -0.09 
2 15 0.189 
3 0 -0.324 
3 1 0.043 
3 2 0.508 
3 3 0.695 
3 4 0.882 
3 5 0.749 
3 6 0.48 
3 7 0.212 
3 8 -0.164 
3 9 -0.39 
3 10 -0.616 
3 11 -0.686 
3 12 -0.577 
3 13 -0.468 
3 14 -0.186 
3 15 0.0746 
4 0 -0.358 
4 1 0.0715 
4 2 0.626 
4 3 0.87 
4 4 1.11 
4 5 0.933 
4 6 0.595 
4 7 0.257 
4 8 -0.188 
4 9 -0.46 
4 10 -0.732 
4 11 -0.774 
4 12 -0.659 
4 13 -0.544 
4 14 -0.281 
4 15 -0.0398 
5 0 -0.255 
5 1 0.0991 
5 2 0.516 
5 3 0.714 
5 4 0.913 
5 5 0.825 
5 6 0.572 
5 7 0.319 
5 8 -0.0951 
5 9 -0.337 
5 10 -0.579 
5 11 -0.628 
5 12 -0.57 
5 13 -0.512 
5 14 -0.363 
5 15 -0.168 
6 0 -0.116 
6 1 0.0879 
6 2 0.32 
6 3 0.441 
6 4 0.561 
6 5 0.552 
6 6 0.426 
6 7 0.301 
6 8 0.0467 
6 9 -0.13 
6 10 -0.307 
6 11 -0.396 
6 12 -0.41 
6 13 -0.424 
6 14 -0.363 
6 15 -0.246 
7 0 0.0233 
7 1 0.0766 
7 2 0.125 
7 3 0.168 
7 4 0.21 
7 5 0.279 
7 6 0.281 
7 7 0.283 
7 8 0.189 
7 9 0.0775 
7 10 -0.0337 
7 11 -0.163 
7 12 -0.249 
7 13 -0.335 
7 14 -0.363 
7 15 -0.325 
8 0 0.184 
8 1 0.0633 
8 2 -0.144 
8 3 -0.185 
8 4 -0.225 
8 5 -0.126 
8 6 0.027 
8 7 0.18 
8 8 0.343 
8 9 0.334 
8 10 0.324 
8 11 0.152 
8 12 -0.00256 
8 13 -0.157 
8 14 -0.288 
8 15 -0.334 
9 0 0.235 
9 1 0.0391 
9 2 -0.252 
9 3 -0.355 
9 4 -0.457 
9 5 -0.347 
9 6 -0.141 
9 7 0.066 
9 8 0.327 
9 9 0.413 
9 10 0.499 
9 11 0.373 
9 12 0.207 
9 13 0.0399 
9 14 -0.161 
9 15 -0.305 
10 0 0.286 
10 1 0.0149 
10 2 -0.361 
10 3 -0.525 
10 4 -0.689 
10 5 -0.569 
10 6 -0.308 
10 7 -0.0477 
10 8 0.31 
10 9 0.492 
10 10 0.673 
10 11 0.594 
10 12 0.416 
10 13 0.237 
10 14 -0.033 
10 15 -0.275 
11 0 0.215 
11 1 -0.0301 
11 2 -0.325 
11 3 -0.474 
11 4 -0.623 
11 5 -0.564 
11 6 -0.367 
11 7 -0.17 
11 8 0.151 
11 9 0.375 
11 10 0.599 
11 11 0.694 
11 12 0.577 
11 13 0.459 
11 14 0.118 
11 15 -0.229 
12 0 0.13 
12 1 -0.0462 
12 2 -0.231 
12 3 -0.33 
12 4 -0.429 
12 5 -0.426 
12 6 -0.316 
12 7 -0.205 
12 8 0.0205 
12 9 0.224 
12 10 0.428 
12 11 0.578 
12 12 0.524 
12 13 0.469 
12 14 0.158 
12 15 -0.162 
13 0 0.0437 
13 1 -0.0624 
13 2 -0.136 
13 3 -0.186 
13 4 -0.236 
13 5 -0.289 
13 6 -0.264 
13 7 -0.24 
13 8 -0.11 
13 9 0.0736 
13 10 0.257 
13 11 0.463 
13 12 0.471 
13 13 0.479 
13 14 0.199 
13 15 -0.0948 
14 0 -0.0467 
14 1 -0.0647 
14 2 0.0149 
14 3 0.0282 
14 4 0.0415 
14 5 -0.0434 
14 6 -0.101 
14 7 -0.158 
14 8 -0.145 
14 9 -0.0709 
14 10 0.0027 
14 11 0.152 
14 12 0.177 
14 13 0.202 
14 14 0.128 
14 15 -0.00592 
15 1 -0.00487 
15 2 0.12 
15 3 0.162 
15 4 0.203 
15 5 0.141 
15 6 0.0513 
15 7 -0.038 
15 8 -0.127 
15 9 -0.158 
15 10 -0.188 
15 11 -0.16 
15 12 -0.118 
15 13 -0.0753 
15 14 0.00482 
15 15 -0.00233 
